task,method,seed,n_evals,folds,wall,own_best,ref_cv,regret,test,hit_optimum
tree_cancer,ags_no_early_stop,6,60,247,1.2124212969999917,0.9412859097127223,0.9413406292749658,0.011709986320109556,0.9230769230769231,False
tree_cancer,ags_no_early_stop,7,60,248,1.1912670090000006,0.9389876880984952,0.9389876880984952,0.014062927496580113,0.9440559440559441,False
tree_cancer,ags_no_early_stop,8,60,292,1.375366401000008,0.9507250341997265,0.9459917920656634,0.007058823529411895,0.9230769230769231,False
tree_cancer,ags_no_early_stop,9,60,249,1.1594291229999953,0.9318467852257182,0.9342818057455542,0.018768809849521118,0.8881118881118881,False
tree_cancer,ags_no_prune_no_stop,0,60,300,1.3681341610000004,0.9577564979480165,0.941313269493844,0.011737346101231338,0.9440559440559441,False
tree_cancer,ags_no_prune_no_stop,1,60,300,1.5224479640000368,0.9577017783857731,0.9459644322845417,0.007086183310533567,0.9440559440559441,False
tree_cancer,ags_no_prune_no_stop,2,60,300,1.457264275,0.9600820793433653,0.9530506155950753,0.0,0.8951048951048951,True
tree_cancer,ags_no_prune_no_stop,3,60,300,1.4069666149999875,0.9389876880984952,0.9506976744186046,0.0023529411764706687,0.9300699300699301,False
tree_cancer,ags_no_prune_no_stop,4,60,300,1.5701772920000394,0.9530779753761971,0.9459644322845417,0.007086183310533567,0.9440559440559441,False
tree_cancer,ags_no_prune_no_stop,5,60,300,1.4939314490000015,0.9365800273597811,0.9459917920656634,0.007058823529411895,0.916083916083916,False
tree_cancer,ags_no_prune_no_stop,6,60,300,1.534382547000007,0.9412859097127223,0.9413406292749658,0.011709986320109556,0.9230769230769231,False
tree_cancer,ags_no_prune_no_stop,7,60,300,1.4334126299999639,0.9389876880984952,0.9389876880984952,0.014062927496580113,0.9440559440559441,False
tree_cancer,ags_no_prune_no_stop,8,60,300,1.5118470649999836,0.9507250341997265,0.9459917920656634,0.007058823529411895,0.9230769230769231,False
tree_cancer,ags_no_prune_no_stop,9,60,300,1.3895328830000153,0.9318467852257182,0.9342818057455542,0.018768809849521118,0.8881118881118881,False
tree_cancer,ags_gp_no_stop,0,60,286,4.057811530000038,0.9577564979480165,0.941313269493844,0.011737346101231338,0.9440559440559441,False
tree_cancer,ags_gp_no_stop,1,60,292,3.558781419000013,0.9591655266757866,0.9506703146374829,0.0023803009575924516,0.9230769230769231,False
tree_cancer,ags_gp_no_stop,2,60,274,3.7265510510000013,0.9600820793433653,0.9530506155950753,0.0,0.8951048951048951,True
tree_cancer,ags_gp_no_stop,3,60,288,4.408962241999973,0.941340629274966,0.9506976744186046,0.0023529411764706687,0.9440559440559441,False
tree_cancer,ags_gp_no_stop,4,60,278,4.173210073000007,0.9530779753761971,0.9459644322845417,0.007086183310533567,0.9440559440559441,False
tree_cancer,ags_gp_no_stop,5,60,253,3.7489955470000496,0.9365800273597811,0.9459917920656634,0.007058823529411895,0.916083916083916,False
tree_cancer,ags_gp_no_stop,6,60,259,3.1529131249999978,0.9412859097127223,0.9413406292749658,0.011709986320109556,0.9230769230769231,False
tree_cancer,ags_gp_no_stop,7,60,255,3.1729459800000086,0.9415184678522572,0.9436388508891929,0.009411764705882453,0.9230769230769231,False
tree_cancer,ags_gp_no_stop,8,60,274,3.61228689699999,0.9507250341997265,0.9459917920656634,0.007058823529411895,0.9230769230769231,False
tree_cancer,ags_gp_no_stop,9,60,255,3.029340837999996,0.9318467852257182,0.9342818057455542,0.018768809849521118,0.8881118881118881,False
tree_cancer,random,0,60,300,1.4188090239999838,0.9554309165526677,0.9459917920656634,0.007058823529411895,0.9230769230769231,False
tree_cancer,random,1,60,300,1.3556043439999712,0.9577017783857731,0.948344733242134,0.004705882352941337,0.9300699300699301,False
tree_cancer,random,2,60,300,1.4506200889999832,0.9577017783857731,0.9436114911080711,0.009439124487004236,0.9230769230769231,False
tree_cancer,random,3,60,300,1.3147840400000064,0.941340629274966,0.9506976744186046,0.0023529411764706687,0.9440559440559441,False
tree_cancer,random,4,60,300,1.391810473000021,0.9530779753761971,0.9483173734610123,0.004733242134063009,0.9440559440559441,False
tree_cancer,random,5,60,300,1.3848236239999778,0.9342270861833105,0.9460191518467852,0.007031463748290112,0.9230769230769231,False
tree_cancer,random,6,60,300,1.4162518800000043,0.9412859097127223,0.9460191518467852,0.007031463748290112,0.9230769230769231,False
tree_cancer,random,7,60,300,1.4107428420000474,0.9366621067031463,0.9436935704514363,0.009357045143638998,0.9440559440559441,False
tree_cancer,random,8,60,300,1.4124195879999775,0.948372093023256,0.9530506155950752,1.1102230246251565e-16,0.9230769230769231,True
tree_cancer,random,9,60,300,1.4213636640000118,0.9366073871409029,0.9483720930232558,0.0046785225718195544,0.9020979020979021,False
tree_cancer,optuna_tpe,0,60,300,1.69876505000002,0.9577564979480165,0.9459644322845417,0.007086183310533567,0.9440559440559441,False
tree_cancer,optuna_tpe,1,60,300,1.6253499110000007,0.9577017783857731,0.9459644322845417,0.007086183310533567,0.9440559440559441,False
tree_cancer,optuna_tpe,2,60,300,1.6017116769999689,0.9460465116279069,0.9389876880984952,0.014062927496580113,0.9300699300699301,False
tree_cancer,optuna_tpe,3,60,300,1.8006531829999517,0.941340629274966,0.9506976744186046,0.0023529411764706687,0.9440559440559441,False
tree_cancer,optuna_tpe,4,60,300,1.8692269189999706,0.9530779753761971,0.9483173734610123,0.004733242134063009,0.9440559440559441,False
